"src","dest"
"AKT3","FOXO3"
"AKT3","MTOR"
"AKT3","GSK3B"
"AKT3","BAD"
"BCL2L11","BAX"
"BCL2L11","BCL2"
"BCL2L11","BCL2L1"
"EGF","EGFR"
"EGF","ERBB2"
"EGF","ERBB3"
"EGFR","GAB1"
"EGFR","SHC2"
"EGFR","JAK1"
"EGFR","JAK2"
"EGFR","SHC4"
"EGFR","PLCG1"
"EGFR","SHC3"
"EGFR","PLCG2"
"EGFR","SHC1"
"EGFR","SRC"
"EIF4EBP1","EIF4E"
"EIF4EBP1","EIF4E1B"
"EIF4EBP1","EIF4E2"
"ERBB2","GAB1"
"ERBB2","SHC2"
"ERBB2","JAK1"
"ERBB2","JAK2"
"ERBB2","SHC4"
"ERBB2","PLCG1"
"ERBB2","SHC3"
"ERBB2","PLCG2"
"ERBB2","SHC1"
"ERBB2","SRC"
"ERBB3","GAB1"
"ERBB3","SHC2"
"ERBB3","JAK1"
"ERBB3","JAK2"
"ERBB3","SHC4"
"ERBB3","PLCG1"
"ERBB3","SHC3"
"ERBB3","PLCG2"
"ERBB3","SHC1"
"ERBB3","SRC"
"AKT1","FOXO3"
"AKT1","MTOR"
"AKT1","GSK3B"
"AKT1","BAD"
"AKT2","FOXO3"
"AKT2","MTOR"
"AKT2","GSK3B"
"AKT2","BAD"
"FGF2","FGFR3"
"FGF2","FGFR2"
"FGFR3","GAB1"
"FGFR3","SHC2"
"FGFR3","JAK1"
"FGFR3","JAK2"
"FGFR3","SHC4"
"FGFR3","PLCG1"
"FGFR3","SHC3"
"FGFR3","PLCG2"
"FGFR3","SHC1"
"FGFR3","SRC"
"FGFR2","GAB1"
"FGFR2","SHC2"
"FGFR2","JAK1"
"FGFR2","JAK2"
"FGFR2","SHC4"
"FGFR2","PLCG1"
"FGFR2","SHC3"
"FGFR2","PLCG2"
"FGFR2","SHC1"
"FGFR2","SRC"
"FOXO3","BCL2L11"
"MTOR","EIF4EBP1"
"MTOR","RPS6KB1"
"MTOR","RPS6KB2"
"GAB1","PIK3CA"
"GAB1","PIK3CB"
"GAB1","PIK3CD"
"GAB1","PIK3R1"
"GAB1","PIK3R2"
"GAB1","PIK3R3"
"SHC2","GRB2"
"GAS6","AXL"
"GRB2","SOS1"
"GRB2","SOS2"
"HGF","ERBB3"
"HGF","MET"
"NRG1","EGFR"
"NRG1","ERBB2"
"NRG1","ERBB3"
"HRAS","ARAF"
"HRAS","RAF1"
"HRAS","BRAF"
"IGF1","IGF1R"
