"src","dest"
"10000","2309"
"10000","2475"
"10000","2932"
"10000","572"
"10018","581"
"10018","596"
"10018","598"
"1950","1956"
"1950","2064"
"1950","2065"
"1956","2549"
"1956","25759"
"1956","3716"
"1956","3717"
"1956","399694"
"1956","5335"
"1956","53358"
"1956","5336"
"1956","6464"
"1956","6714"
"1978","1977"
"1978","253314"
"1978","9470"
"2064","2549"
"2064","25759"
"2064","3716"
"2064","3717"
"2064","399694"
"2064","5335"
"2064","53358"
"2064","5336"
"2064","6464"
"2064","6714"
"2065","2549"
"2065","25759"
"2065","3716"
"2065","3717"
"2065","399694"
"2065","5335"
"2065","53358"
"2065","5336"
"2065","6464"
"2065","6714"
"207","2309"
"207","2475"
"207","2932"
"207","572"
"208","2309"
"208","2475"
"208","2932"
"208","572"
"2247","2261"
"2247","2263"
"2261","2549"
"2261","25759"
"2261","3716"
"2261","3717"
"2261","399694"
"2261","5335"
"2261","53358"
"2261","5336"
"2261","6464"
"2261","6714"
"2263","2549"
"2263","25759"
"2263","3716"
"2263","3717"
"2263","399694"
"2263","5335"
"2263","53358"
"2263","5336"
"2263","6464"
"2263","6714"
"2309","10018"
"2475","1978"
"2475","6198"
"2475","6199"
"2549","5290"
"2549","5291"
"2549","5293"
"2549","5295"
"2549","5296"
"2549","8503"
"25759","2885"
"2621","558"
"2885","6654"
"2885","6655"
"3082","2065"
"3082","4233"
"3084","1956"
"3084","2064"
"3084","2065"
"3265","369"
"3265","5894"
"3265","673"
"3479","3480"
"3480","2549"
"3480","25759"
"3480","3716"
"3480","3717"
"3480","399694"
"3480","5335"
"3480","53358"
"3480","5336"
"3480","6464"
"3480","6714"
"3569","3570"
"3570","2549"
"3570","25759"
"3570","3716"
"3570","3717"
"3570","399694"
"3570","5335"
"3570","53358"
"3570","5336"
"3570","6464"
"3570","6714"
"369","5604"
"369","5605"
"3716","6774"
"3717","6774"
"3791","2549"
"3791","25759"
"3791","3716"
"3791","3717"
"3791","399694"
"3791","5335"
"3791","53358"
"3791","5336"
"3791","6464"
"3791","6714"
"3845","369"
"3845","5894"
"3845","673"
"399694","2885"
"4233","2065"
"4233","2549"
"4233","25759"
"4233","3716"
"4233","3717"
"4233","399694"
"4233","5335"
"4233","53358"
"4233","5336"
"4233","6464"
"4233","6714"
"4763","3265"
"4763","3845"
"4763","4893"
"4893","369"
"4893","5894"
"4893","673"
"5154","5156"
"5154","5159"
"5155","5156"
"5155","5159"
"5156","2549"
"5156","25759"
"5156","3716"
"5156","3717"
"5156","399694"
"5156","5335"
"5156","53358"
"5156","5336"
"5156","6464"
"5156","6714"
"5159","2549"
"5159","25759"
"5159","3716"
"5159","3717"
"5159","399694"
"5159","5335"
"5159","53358"
"5159","5336"
"5159","6464"
"5159","6714"
"53358","2885"
"5578","369"
"5578","5894"
"5578","673"
"5579","369"
"5579","5894"
"5579","673"
"558","2549"
"558","25759"
"558","3716"
"558","3717"
"558","399694"
"558","5335"
"558","53358"
"558","5336"
"558","6464"
"558","6714"
"5582","369"
"5582","5894"
"5582","673"
"5594","10018"
"5595","10018"
"56034","5156"
"56034","5159"
"5604","5594"
"5604","5595"
"5605","5594"
"5605","5595"
"5894","5604"
"5894","5605"
"596","581"
"598","581"
"6198","6194"
"6199","6194"
"6464","2885"
"6654","3265"
"6654","3845"
"6654","4893"
"6655","3265"
"6655","3845"
"6655","4893"
"6714","6774"
"673","5604"
"673","5605"
"7039","1956"
"7039","2064"
"7039","2065"
"7422","3791"
"80310","5156"
"80310","5159"
"9542","1956"
"9542","2064"
"9542","2065"
"1019","5925"
"1026","1019"
"1027","1019"
"1029","1019"
"1031","1019"
"10683","4851"
"10683","4853"
"10683","4854"
"10683","4855"
"1432","10498"
"1432","2099"
"1432","2100"
"1432","2353"
"1432","3725"
"1432","5469"
"1432","6667"
"1432","8202"
"182","4851"
"182","4853"
"182","4854"
"182","4855"
"1839","1956"
"1956","5290"
"1956","5291"
"1956","5293"
"1956","5295"
"1956","5296"
"1956","8503"
"2064","5290"
"2064","5291"
"2064","5293"
"2064","5295"
"2064","5296"
"2064","8503"
"2778","107"
"2778","108"
"2778","109"
"2778","111"
"2778","112"
"2778","113"
"2778","114"
"2778","115"
"2778","196883"
"2778","6714"
"28514","4851"
"28514","4853"
"28514","4854"
"28514","4855"
"2852","2778"
"3480","5290"
"3480","5291"
"3480","5293"
"3480","5295"
"3480","5296"
"3480","8503"
"3714","4851"
"3714","4853"
"3714","4854"
"3714","4855"
"4193","7157"
"4313","1839"
"4318","1839"
"5290","10000"
"5290","207"
"5290","208"
"5291","10000"
"5291","207"
"5291","208"
"5293","10000"
"5293","207"
"5293","208"
"5295","10000"
"5295","207"
"5295","208"
"5296","10000"
"5296","207"
"5296","208"
"54567","4851"
"54567","4853"
"54567","4854"
"54567","4855"
"5566","10498"
"5566","2099"
"5566","2100"
"5566","2353"
"5566","369"
"5566","3725"
"5566","5469"
"5566","5894"
"5566","6198"
"5566","6199"
"5566","6667"
"5566","673"
"5566","8202"
"5567","10498"
"5567","2099"
"5567","2100"
"5567","2353"
"5567","369"
"5567","3725"
"5567","5469"
"5567","5894"
"5567","6198"
"5567","6199"
"5567","6667"
"5567","673"
"5567","8202"
"5568","10498"
"5568","2099"
"5568","2100"
"5568","2353"
"5568","369"
"5568","3725"
"5568","5469"
"5568","5894"
"5568","6198"
"5568","6199"
"5568","6667"
"5568","673"
"5568","8202"
"5594","2353"
"5594","3725"
"5595","2353"
"5595","3725"
"5599","10498"
"5599","2099"
"5599","2100"
"5599","2353"
"5599","3725"
"5599","5469"
"5599","6667"
"5599","8202"
"5600","10498"
"5600","2099"
"5600","2100"
"5600","2353"
"5600","3725"
"5600","5469"
"5600","6667"
"5600","8202"
"5601","10498"
"5601","2099"
"5601","2100"
"5601","2353"
"5601","3725"
"5601","5469"
"5601","6667"
"5601","8202"
"5602","10498"
"5602","2099"
"5602","2100"
"5602","2353"
"5602","3725"
"5602","5469"
"5602","6667"
"5602","8202"
"5603","10498"
"5603","2099"
"5603","2100"
"5603","2353"
"5603","3725"
"5603","5469"
"5603","6667"
"5603","8202"
"5747","5290"
"5747","5291"
"5747","5293"
"5747","5295"
"5747","5296"
"5747","8503"
"5925","1869"
"5925","1870"
"5925","1871"
"595","1019"
"596","572"
"596","638"
"6198","10498"
"6198","2099"
"6198","2100"
"6198","2353"
"6198","3725"
"6198","5469"
"6198","6667"
"6198","8202"
"6199","10498"
"6199","2099"
"6199","2100"
"6199","2353"
"6199","3725"
"6199","5469"
"6199","6667"
"6199","8202"
"6300","10498"
"6300","2099"
"6300","2100"
"6300","2353"
"6300","3725"
"6300","5469"
"6300","6667"
"6300","8202"
"6714","10498"
"6714","2099"
"6714","2100"
"6714","2353"
"6714","3725"
"6714","4313"
"6714","4318"
"6714","5469"
"6714","6667"
"6714","8202"
"7157","1026"
"7157","1027"
"7157","1029"
"7157","1031"
"8503","10000"
"8503","207"
"8503","208"
"1147","4790"
"1147","5970"
"3551","4790"
"3551","5970"
"4790","3553"
"4790","3569"
"4790","7124"
"5970","3553"
"5970","3569"
"5970","7124"
"8517","4790"
"8517","5970"
"10000","1026"
"10000","329"
"10000","330"
"10000","331"
"10000","332"
"10000","842"
"1026","4217"
"1026","836"
"1029","4193"
"2064","5594"
"2064","5595"
"207","1026"
"207","329"
"207","330"
"207","331"
"207","332"
"207","842"
"208","1026"
"208","329"
"208","330"
"208","331"
"208","332"
"208","842"
"27113","596"
"27113","598"
"317","842"
"329","836"
"329","842"
"330","836"
"330","842"
"331","836"
"331","842"
"332","836"
"332","842"
"355","8772"
"356","355"
"472","7157"
"5170","10000"
"5170","207"
"5170","208"
"5290","5170"
"5291","5170"
"5293","5170"
"5295","5170"
"5296","5170"
"5366","596"
"5366","598"
"54205","842"
"5594","572"
"5595","572"
"572","596"
"572","598"
"596","578"
"598","578"
"7157","27113"
"7157","355"
"7157","5366"
"7157","578"
"7157","581"
"841","472"
"841","637"
"841","7157"
"841","836"
"842","836"
"8503","5170"
"8772","841"
"23049","5976"
"132430","255967"
"132430","29883"
"132430","9337"
"140886","255967"
"140886","29883"
"140886","9337"
"26986","255967"
"26986","29883"
"26986","9337"
"340529","255967"
"340529","29883"
"340529","9337"
"5042","255967"
"5042","29883"
"5042","9337"
"645974","255967"
"645974","29883"
"645974","9337"
"80336","255967"
"80336","29883"
"80336","9337"
"8761","255967"
"8761","29883"
"8761","9337"
"5465","10062"
"5465","10873"
"5465","10999"
"5465","116519"
"5465","126129"
"5465","1374"
"5465","1375"
"5465","1376"
