"src","dest"
"9021","3717"
"9021","3569"
"9021","3570"
"9021","3716"
"9021","7297"
"9021","3572"
"9021","6774"
"9021","6772"
"3717","6774"
"3717","6772"
"3569","3717"
"3569","3716"
"3569","7297"
"3569","6774"
"3569","6772"
"3570","3717"
"3570","3716"
"3570","7297"
"3570","6774"
"3570","6772"
"3716","6774"
"7297","6774"
"3572","3717"
"3572","3716"
"3572","6774"
"3572","6772"
"317","836"
"317","840"
"7161","27113"
"8837","8797"
"8837","8795"
"8837","355"
"8837","356"
"8837","8743"
"8837","7186"
"8837","8737"
"8837","8717"
"7157","5366"
"7157","27113"
"3146","1677"
"3146","3005"
"3146","3008"
"3146","3009"
"3146","3007"
"3146","3006"
"3146","3024"
"3002","637"
"3148","1677"
"3148","3005"
"3148","3008"
"3148","3009"
"3148","3007"
"3148","3006"
"3148","3024"
"5595","317"
"5595","842"
"5595","54205"
"5594","317"
"5594","842"
"5594","54205"
"4836","637"
"207","572"
"208","572"
"6774","596"
"6774","598"
"836","1676"
"836","2620"
"836","1677"
"836","2934"
"836","7431"
"836","4137"
"836","999"
"836","1832"
"836","324"
"836","1830"
"836","1499"
"836","118"
"836","1630"
"836","2339"
"836","660"
"836","1828"
"836","5588"
"836","5580"
"836","7082"
"836","5062"
"836","6093"
"836","329"
"836","6709"
"836","5317"
"836","1829"
"836","100506658"
"836","90249"
"836","219699"
"836","51765"
"836","9414"
"836","28988"
"836","22985"
"836","8428"
"1630","836"
"5599","8655"
"5599","140735"
"5533","10971"
"5533","7529"
"5533","2810"
"5533","7532"
"5533","7531"
"5533","7534"
"5533","7533"
"5533","572"
"840","2620"
"840","7431"
"840","5747"
"840","63967"
"840","8428"
"842","836"
"842","840"
"839","7431"
"839","6304"
"5534","10971"
"5534","7529"
"5534","2810"
"5534","7532"
"5534","7531"
"5534","7534"
"5534","7533"
"5534","572"
"331","836"
"331","840"
"54205","836"
"54205","840"
"1869","5366"
"1869","27113"
"7159","27113"
"7027","5366"
"7027","27113"
"7029","5366"
"7029","27113"
"841","8797"
"841","8795"
"841","8837"
"841","7431"
"841","355"
"841","356"
"841","8743"
"841","10134"
"841","637"
"841","5339"
"115209","4976"
"51074","317"
"51074","842"
"51074","54205"
"23368","27113"
