"src","dest"
"SOCS3","JAK2"
"SOCS3","IL6"
"SOCS3","IL6R"
"SOCS3","JAK1"
"SOCS3","TYK2"
"SOCS3","IL6ST"
"SOCS3","STAT3"
"SOCS3","STAT1"
"JAK2","STAT3"
"JAK2","STAT1"
"IL6","JAK2"
"IL6","JAK1"
"IL6","TYK2"
"IL6","STAT3"
"IL6","STAT1"
"IL6R","JAK2"
"IL6R","JAK1"
"IL6R","TYK2"
"IL6R","STAT3"
"IL6R","STAT1"
"JAK1","STAT3"
"TYK2","STAT3"
"IL6ST","JAK2"
"IL6ST","JAK1"
"IL6ST","STAT3"
"IL6ST","STAT1"
"APAF1","CASP3"
"APAF1","CASP7"
"TP73","BBC3"
"CFLAR","TNFRSF10A"
"CFLAR","TNFRSF10B"
"CFLAR","FAS"
"CFLAR","FASLG"
"CFLAR","TNFSF10"
"CFLAR","TRAF2"
"CFLAR","RIPK1"
"CFLAR","TRADD"
"TP53","PMAIP1"
"TP53","BBC3"
"HMGB1","DFFB"
"HMGB1","H1-0"
"HMGB1","H1-4"
"HMGB1","H1-5"
"HMGB1","H1-3"
"HMGB1","H1-2"
"HMGB1","H1-1"
"GZMB","BID"
"HMGB2","DFFB"
"HMGB2","H1-0"
"HMGB2","H1-4"
"HMGB2","H1-5"
"HMGB2","H1-3"
"HMGB2","H1-2"
"HMGB2","H1-1"
"MAPK3","APAF1"
"MAPK3","CASP9"
"MAPK3","CYCS"
"MAPK1","APAF1"
"MAPK1","CASP9"
"MAPK1","CYCS"
"NMT1","BID"
"AKT1","BAD"
"AKT2","BAD"
"STAT3","BCL2"
"STAT3","BCL2L1"
"CASP3","DFFA"
"CASP3","GAS2"
"CASP3","DFFB"
"CASP3","GSN"
"CASP3","VIM"
"CASP3","MAPT"
"CASP3","CDH1"
"CASP3","DSP"
"CASP3","APC"
"CASP3","DSG3"
"CASP3","CTNNB1"
"CASP3","ADD1"
"CASP3","DCC"
"CASP3","FNTA"
"CASP3","BMX"
"CASP3","DSG1"
"CASP3","PRKCQ"
"CASP3","PRKCD"
"CASP3","TJP1"
"CASP3","PAK2"
"CASP3","ROCK1"
"CASP3","BIRC2"
"CASP3","SPTAN1"
"CASP3","PKP1"
"CASP3","DSG2"
"CASP3","OCLN"
"CASP3","UNC5A"
"CASP3","UNC5B"
"CASP3","STK26"
"CASP3","TJP2"
"CASP3","DBNL"
"CASP3","ACIN1"
"CASP3","STK24"
